Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Daily_Change,Daily_change_percent
2024-03-27,22053.95,22193.6,22052.85,22123.65,409136866.0,38830.73,69.7,0.31604315780166364
2024-03-28,22163.6,22516.0,22163.6,22326.9,407422815.0,45656.57,163.3,0.7367936616795107
2024-04-01,22455.0,22529.95,22427.75,22462.0,243637071.0,21420.69,7.0,0.031173458027165445
2024-04-02,22458.8,22497.6,22388.15,22453.3,289524237.0,27940.93,-5.5,-0.02448928705006501
2024-04-03,22385.7,22521.1,22346.5,22434.65,309647491.0,30793.28,48.95,0.2186663807698665
2024-04-04,22592.1,22619.0,22303.8,22514.65,400986156.0,40705.56,-77.45,-0.34281894998694235
2024-04-05,22486.4,22537.6,22427.6,22513.7,242244731.0,24797.82,27.3,0.12140671694891134
2024-04-08,22578.35,22697.3,22550.35,22666.3,227633561.0,22480.2,87.95,0.38953245033405903
2024-04-09,22765.1,22768.4,22612.25,22642.75,232356772.0,21651.69,-122.35,-0.5374454757501614
2024-04-10,22720.25,22775.7,22673.7,22753.8,276847931.0,25355.05,33.55,0.14766562867926186
2024-04-12,22677.4,22726.45,22503.75,22519.4,357187778.0,36456.91,-158.0,-0.6967289019023344
2024-04-15,22339.05,22427.45,22259.55,22272.5,355465814.0,29474.59,-66.55,-0.2979088188620375
2024-04-16,22125.3,22213.75,22079.45,22147.9,317267066.0,28661.04,22.6,0.10214550763153496
2024-04-18,22212.35,22326.5,21961.7,21995.85,456906707.0,43314.67,-216.5,-0.974683002924049
2024-04-19,21861.5,22179.55,21777.65,22147.0,362530569.0,36073.63,285.5,1.3059488141252886
2024-04-22,22336.9,22375.65,22198.15,22336.4,279259571.0,26841.2,-0.5,-0.002238448486584978
2024-04-23,22447.05,22447.55,22349.45,22368.0,231520813.0,25651.64,-79.05,-0.3521620881140284
2024-04-24,22421.55,22476.45,22384.0,22402.4,235898642.0,21925.6,-19.15,-0.08540890348793906
2024-04-25,22316.9,22625.95,22305.25,22570.35,475044740.0,53803.8,253.45,1.1356864080584668
2024-04-26,22620.4,22620.4,22385.55,22419.95,329887340.0,36984.89,-200.45,-0.8861470177362026
2024-04-29,22475.55,22655.8,22441.9,22643.4,291957361.0,32431.45,167.85,0.7468115352015857
2024-04-30,22679.65,22783.35,22568.4,22604.85,361859375.0,38741.7,-74.8,-0.3298110861499185
2024-05-02,22567.85,22710.5,22567.85,22648.2,445909456.0,43133.31,80.35,0.35603746036950795
2024-05-03,22766.35,22794.7,22348.05,22475.85,438060727.0,44432.55,-290.5,-1.2760060352230376
2024-05-06,22561.6,22588.8,22409.45,22442.7,320255789.0,33417.53,-118.9,-0.5270016310899936
2024-05-07,22489.75,22499.05,22232.05,22302.5,297815469.0,31512.26,-187.25,-0.8326015184695249
2024-05-08,22231.2,22368.65,22185.2,22302.5,277438692.0,29717.33,71.3,0.3207204289467055
2024-05-09,22224.8,22307.75,21932.4,21957.5,331327454.0,37870.88,-267.3,-1.2027104855836726
2024-05-10,21990.95,22131.3,21950.3,22055.2,265804411.0,28717.71,64.25,0.29216564086590163
2024-05-13,22027.95,22131.65,21821.05,22104.05,278186886.0,29036.08,76.1,0.345470186740028
2024-05-14,22112.9,22270.05,22081.25,22217.85,230238941.0,23741.66,104.95,0.4746098431232448
2024-05-15,22255.6,22297.55,22151.75,22200.55,231935478.0,23815.79,-55.05,-0.24735347508042918
